0.000000000000000e+000,-8.276434e-006
1.000000000000000e-001,7.839760e-004
2.000000000000000e-001,1.548985e-003
3.000000000000000e-001,2.294390e-003
4.000000000000000e-001,3.020325e-003
5.000000000000000e-001,3.726762e-003
6.000000000000000e-001,4.413666e-003
7.000000000000000e-001,5.081000e-003
7.999999999999999e-001,5.728731e-003
8.999999999999999e-001,6.356825e-003
9.999999999999999e-001,6.965244e-003
1.100000000000000e+000,7.553955e-003
1.200000000000000e+000,8.122922e-003
1.300000000000000e+000,8.672110e-003
1.400000000000000e+000,9.201483e-003
1.500000000000000e+000,9.711007e-003
1.600000000000000e+000,1.020064e-002
1.700000000000000e+000,1.067036e-002
1.800000000000001e+000,1.112012e-002
1.900000000000001e+000,1.154988e-002
2.000000000000000e+000,1.195962e-002
2.100000000000001e+000,1.234929e-002
2.200000000000001e+000,1.271885e-002
2.300000000000001e+000,1.306828e-002
2.400000000000001e+000,1.339754e-002
2.500000000000001e+000,1.370658e-002
2.600000000000001e+000,1.399537e-002
2.700000000000001e+000,1.426389e-002
2.800000000000001e+000,1.451208e-002
2.900000000000001e+000,1.473991e-002
3.000000000000001e+000,1.494734e-002
3.100000000000001e+000,1.513434e-002
3.200000000000002e+000,1.530088e-002
3.300000000000002e+000,1.544690e-002
3.400000000000002e+000,1.557238e-002
3.500000000000002e+000,1.567728e-002
3.600000000000002e+000,1.576156e-002
3.700000000000002e+000,1.582518e-002
3.800000000000002e+000,1.586810e-002
3.900000000000002e+000,1.589029e-002
4.000000000000002e+000,1.589524e-002
4.100000000000001e+000,1.589837e-002
4.200000000000001e+000,1.590149e-002
4.300000000000001e+000,1.590462e-002
4.400000000000000e+000,1.590775e-002
4.500000000000000e+000,1.591088e-002
4.600000000000000e+000,1.591401e-002
4.699999999999999e+000,1.591714e-002
4.799999999999999e+000,1.592026e-002
4.899999999999999e+000,1.592339e-002
5.000000000000000e+000,1.592652e-002
